TimeStamp, Joint1Tx,Joint1Ty,Joint1Tz,Joint2Tx,Joint2Ty,Joint2Tz,Joint3Tx,Joint3Ty,Joint3Tz,Joint1Ix,Joint1Iy,Joint1Iz,Joint2Ix,Joint2Iy,Joint2Iz,Joint3Ix,Joint3Iy,Joint3Iz,Joint1Mx,Joint1My,Joint1Mz,Joint2Mx,Joint2My,Joint2Mz,Joint3Mx,Joint3My,Joint3Mz,Joint1Rx,Joint1Ry,Joint1Rz,Joint2Rx,Joint2Ry,Joint2Rz,Joint3Rx,Joint3Ry,Joint3Rz,Joint1Px,Joint1Py,Joint1Pz,Joint2Px,Joint2Py,Joint2Pz,Joint3Px,Joint3Py,Joint3Pz,ThumbClosure,IndexClosure,MiddleClosure,ThumbAbduction
103.8377,-47.50464,140.4221,-27.29874,-45.37787,136.1356,-19.51068,-52.64145,139.1881,-18.315,11.22744,-83.70081,-7.94339,16.1179,-84.12134,-4.822968,29.1436,-83.93967,-1.362701,0.8716618,-81.08597,0.9562413,11.64042,-80.57208,2.747957,18.0558,-79.85117,4.172273,-0.7245789,-76.36395,10.2228,13.92802,-74.18213,8.564089,14.36152,-75.31955,4.006392,0.4928905,-74.71387,23.67627,3.730517,-72.20901,18.47751,13.71041,-68.7894,16.40583,0,0.04705882,0,1
103.8889,-47.50464,140.4221,-27.29874,-45.37787,136.1356,-19.51068,-52.64145,139.1881,-18.31503,11.22745,-83.70081,-7.94339,16.11791,-84.12134,-4.822968,29.1436,-83.93967,-1.362671,0.8716595,-81.08597,0.9562413,11.64043,-80.57205,2.747967,18.0558,-79.85117,4.172278,-0.7245789,-76.36395,10.2228,13.92803,-74.18213,8.564095,14.36151,-75.31955,4.006395,0.4928887,-74.71387,23.67627,3.730519,-72.20901,18.47751,13.71041,-68.7894,16.40584,0,0.05098039,0,1
103.941,-47.50464,140.4221,-27.29877,-45.37787,136.1356,-19.51068,-52.64145,139.1881,-18.31503,11.79124,-83.76526,-7.891876,17.43177,-84.24805,-4.793915,31.08692,-84.07339,-1.334381,0.8716608,-81.08597,0.956248,11.64044,-80.57205,2.747973,18.0558,-79.85117,4.172279,-0.7245789,-76.36395,10.22281,13.92802,-74.18213,8.564095,14.36152,-75.31955,4.0064,0.4928956,-74.71387,23.67627,3.730522,-72.20901,18.47752,13.7104,-68.7894,16.40584,0,0.05490196,0,1
103.9922,-47.50464,140.4221,-27.29877,-45.37787,136.1356,-19.51068,-52.64148,139.1881,-18.31503,13.20361,-83.9249,-7.764832,20.73134,-84.56335,-4.731628,35.96756,-84.40698,-1.276215,0.8716615,-81.08597,0.9562453,11.64043,-80.57208,2.747964,18.0558,-79.85117,4.172268,-0.7245789,-76.36395,10.2228,13.92803,-74.18213,8.564095,14.36151,-75.31955,4.006391,0.4928982,-74.71387,23.67626,3.730526,-72.20901,18.47752,13.71041,-68.7894,16.40584,0,0.07843138,0,1
104.0475,-47.50464,140.4221,-27.29874,-45.37787,136.1356,-19.51068,-52.64145,139.1881,-18.315,16.89257,-84.3306,-7.445435,29.40236,-85.38373,-4.641998,48.79591,-85.29755,-1.224213,1.869768,-81.02731,1.0362,13.47566,-80.46112,2.849345,20.95447,-79.63049,4.331174,0.3924077,-76.05701,10.30465,15.84649,-73.71808,8.714402,17.28428,-74.77948,4.150113,1.452284,-74.17175,23.59683,5.59646,-71.36542,18.46713,16.48715,-67.63605,16.58865,0,0.1254902,0.01176471,1
104.0997,-47.50464,140.4221,-27.29877,-45.37787,136.1356,-19.51068,-52.64145,139.1881,-18.31503,19.74316,-84.63391,-7.210114,36.15188,-86.03305,-4.65274,58.78456,-86.0722,-1.333618,5.206922,-80.82047,1.305407,19.64999,-80.04724,3.215766,30.72266,-78.75562,4.990812,4.118752,-75.01715,10.611,22.29064,-72.07596,9.329141,27.10325,-72.8252,4.813771,4.67111,-72.35809,23.39337,11.87729,-68.50647,18.6085,25.82008,-63.5426,17.61529,0,0.172549,0.05882353,1
104.1532,-47.50464,140.4221,-27.29874,-45.37787,136.1356,-19.51068,-52.64145,139.1881,-18.315,25.17697,-85.19113,-6.78656,49.1228,-87.40802,-4.935303,77.98648,-88.83905,-2.937378,9.897243,-80.50046,1.691549,28.4298,-79.3291,3.830839,44.64586,-76.96118,6.460087,9.330936,-73.50949,11.1306,31.4181,-69.44287,10.56073,41.00941,-69.42908,6.448359,9.219543,-69.78915,23.27138,20.79629,-64.28223,19.31031,38.9886,-56.67361,20.52544,0,0.2392157,0.1058824,1
104.2059,-47.50467,140.4221,-27.29877,-41.79163,134.4384,-18.34003,-46.05634,135.7275,-15.72397,30.04216,-85.67072,-6.432312,60.83209,-89.05341,-5.712494,84.58844,100.4054,-172.724,15.26682,-80.08832,2.151206,38.63074,-78.22583,4.77016,60.82109,-72.97644,10.03772,15.25386,-71.69281,11.86532,41.94135,-65.66962,12.76531,56.99978,-63.37936,10.49091,14.45157,-66.78143,23.37719,31.08791,-58.862,21.01829,53.81049,-45.16324,27.81991,0.0627451,0.3058824,0.1686275,1
104.2561,-47.50464,140.4221,-27.29874,-38.06033,132.8732,-17.33484,-39.14801,132.9159,-13.84415,33.75364,-86.02673,-6.176422,69.80473,-91.08466,-7.136108,71.27646,94.97061,-177.4402,20.95897,-79.59064,2.669214,49.61869,-76.49515,6.278882,77.83294,-57.59702,24.93841,21.46969,-69.62225,12.83179,53.10413,-59.99585,16.78802,73.51874,-47.20819,24.46742,20.0116,-63.45697,23.80069,41.98122,-51.81241,24.39153,67.73438,-20.56247,48.11814,0.1411765,0.3647059,0.2431373,1
104.3085,-47.50464,140.4221,-27.29877,-34.63712,131.578,-16.56683,-32.7753,130.788,-12.60501,36.88188,-86.32156,-5.969696,77.36713,-94.53662,-10.10587,59.98716,93.77241,-178.0332,25.94969,-79.09378,3.160178,59.38726,-74.02258,8.51878,82.88705,50.55296,132.6193,26.85555,-67.64316,13.86855,62.72019,-51.95755,23.36577,82.18073,23.97098,93.59854,24.88252,-60.36801,24.46995,51.33129,-43.52933,29.591,73.10398,26.72178,91.62045,0.2039216,0.4078431,0.3098039,1
104.3623,-47.50467,140.4221,-27.29877,-30.69885,130.2191,-15.83289,-25.41046,128.6884,-11.58194,40.27615,-86.63724,-5.754272,85.40693,-109.8451,-24.91711,47.6929,92.91864,-178.2177,32.52598,-78.33261,3.881305,72.34677,-66.76224,15.4195,63.25523,86.79099,168.1457,33.84235,-64.71896,15.57317,74.09637,-28.49091,44.85492,66.78251,89.05164,155.6826,31.2657,-55.93631,25.85726,62.6513,-26.19745,42.95618,62.17617,79.51016,139.1767,0.2666667,0.4470588,0.372549,1
104.417,-47.50464,140.4221,-27.29877,-26.71704,128.9579,-15.22668,-17.92987,126.8135,-10.87247,42.80601,-86.87042,-5.599579,87.33751,135.698,-139.0184,38.50636,92.38636,-178.2337,38.65791,-77.48254,4.661677,83.45737,-33.8208,47.96987,43.05645,92.20626,172.7614,40.22054,-61.54819,17.61565,78.07719,27.21515,98.62489,47.6635,100.3595,163.7161,37.14048,-51.27808,27.79429,70.00539,3.831798,69.28722,44.6108,98.88713,153.117,0.3568628,0.4901961,0.4627451,1
104.4717,-47.50464,140.4221,-27.29874,-23.10147,127.8898,-14.77658,-11.10577,125.2471,-10.45123,45.04137,-87.07538,-5.466949,82.36144,106.4417,-167.9696,30.37707,91.94725,-178.1974,44.64561,-76.47464,5.571112,80.34649,67.07737,148.4302,22.75885,94.79851,174.3767,46.29124,-57.86737,20.18983,70.63387,70.1884,139.5792,28.36258,106.3805,165.8235,42.74949,-46.03094,30.46715,69.92463,44.92513,106.6732,25.76502,109.811,157.7755,0.4196078,0.5137255,0.5215687,1
104.5224,-47.50464,140.4221,-27.29877,-20.90585,127.2703,-14.54446,-6.945557,124.3349,-10.28488,46.70863,-87.22791,-5.370544,78.35979,101.5163,-172.6724,24.30831,91.62804,-178.1463,49.25245,-75.5351,6.41378,71.15295,82.89989,163.8742,6.822481,96.28172,174.8986,50.8308,-54.48941,22.70526,61.81721,84.08398,151.804,13.28819,110.2898,165.9654,46.93126,-41.35068,33.20765,64.57364,69.45116,128.2188,10.79477,116.6704,158.7355,0.4666667,0.5372549,0.5803922,1
